,,SYS_MS,MAKE_CAN_ID(HEX),DATA(HEX)
RX,Exd,1383250594,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1383400780,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1383501092,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1383501613,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1383510796,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1383520828,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1383530812,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1383650745,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,64979,0101FFEE,5B 0E 01 01 01 01 01 01 
TX,Exd,64981,0102FFEE,5B 0F 01 01 01 01 01 01 
RX,Exd,1383750592,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1383900756,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1384000979,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1384150759,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1384250625,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1384400789,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,65732,0101FFEE,5A 0F 01 01 01 01 01 01 
TX,Exd,65734,0102FFEE,5A 00 01 01 01 01 01 01 
RX,Exd,1384501171,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1384501687,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1384510882,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1384520906,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1384530891,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1384650795,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1384750669,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1384900763,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1385001046,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1385150748,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,66485,0101FFEE,55 00 01 01 01 01 01 01 
TX,Exd,66487,0102FFEE,55 01 01 01 01 01 01 01 
RX,Exd,1385250702,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1385400777,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1385501249,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1385503055,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1385510952,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1385520995,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1385530967,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1385650780,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1385750744,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1385900766,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1386001734,182756F4,60 1B 00 00 00 00 00 00 
TX,Exd,67238,0101FFEE,54 01 01 01 01 01 01 01 
TX,Exd,67240,0102FFEE,54 02 01 01 01 01 01 01 
RX,Exd,1386150748,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1386250780,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1386400735,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1386501339,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1386501889,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1386511592,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1386521041,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1386531046,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1386650724,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,67991,0101FFEE,57 02 01 01 01 01 01 01 
TX,Exd,67993,0102FFEE,57 03 01 01 01 01 01 01 
RX,Exd,1386750819,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1386900756,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1387001625,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1387150752,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1387250859,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1387400764,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1387501765,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1387502858,18E1D0F3,64 61 31 32 31 31 32 34 
TX,Exd,68744,0101FFEE,56 03 01 01 01 01 01 01 
TX,Exd,68746,0102FFEE,56 04 01 01 01 01 01 01 
RX,Exd,1387511109,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1387521119,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1387531124,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1387650722,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1387750894,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1387900737,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1388001327,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1388150723,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1388250937,182756F4,60 1B 00 00 00 00 00 00 
TX,Exd,69497,0101FFEE,51 04 01 01 01 01 01 01 
TX,Exd,69499,0102FFEE,51 05 01 01 01 01 01 01 
RX,Exd,1388400702,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1388501540,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1388502079,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1388511168,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1388521193,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1388531787,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1388650694,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1388750962,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1388900723,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1389001382,182756F4,60 1B 00 00 00 00 00 00 
TX,Exd,70249,0101FFEE,50 05 01 01 01 01 01 01 
TX,Exd,70251,0102FFEE,50 06 01 01 01 01 01 01 
RX,Exd,1389150726,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1389251014,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1389400688,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1389501546,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1389502077,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1389511240,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1389521258,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1389531266,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1389650673,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1389751036,182756F4,60 1B 00 00 00 00 00 00 
TX,Exd,71002,0101FFEE,53 06 01 01 01 01 01 01 
TX,Exd,71004,0102FFEE,53 07 01 01 01 01 01 01 
RX,Exd,1389900702,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1390001421,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1390151131,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1390251074,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1390400673,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1390501575,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1390502117,18F1D0F3,A7 0E 00 95 0B 00 00 00 
RX,Exd,1390502656,18E1D0F3,64 61 31 32 31 31 32 34 
TX,Exd,71754,0101FFEE,52 07 01 01 01 01 01 01 
TX,Exd,71756,0102FFEE,52 08 01 01 01 01 01 01 
RX,Exd,1390511349,18F2D0F3,62 01 00 06 00 00 00 00 
RX,Exd,1390512217,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1390521354,18F3D0F3,3C 0D 00 00 00 00 00 00 
RX,Exd,1390521944,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1390531358,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1390650702,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1390751110,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1390900666,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1391001468,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1391150655,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1391251155,182756F4,60 1B 00 00 00 00 00 00 
TX,Exd,72506,0101FFEE,5D 08 01 01 01 01 01 01 
TX,Exd,72508,0102FFEE,5D 09 01 01 01 01 01 01 
RX,Exd,1391400663,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1391465833,1801F456,00 00 00 00 00 35 39 31 
RX,Exd,1391491452,1CEC56F4,10 31 00 07 FF 00 02 00 
RX,Exd,1391495860,1CECF456,11 07 01 FF FF 00 02 00 
RX,Exd,1391501869,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1391511401,1CEB56F4,01 01 01 00 03 D0 11 26 
RX,Exd,1391511942,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1391521390,1CEB56F4,02 18 43 41 54 4C FF FF 
RX,Exd,1391521973,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1391531415,1CEB56F4,03 FF FF FF FF FF 21 00 
